TimeStamp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,Status
23/11/2016 14:30,1,0,7479,0,0,0,0,0,1,7481,0,7400,81,0,0,0,0,7481,7479,0,43364,1,1,0,0,0,14941,10,7443,0,0,30.9,0,0,1,1,0,2,0,0,0,0,0,1,0,34,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,37,0
23/11/2016 14:30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
23/11/2016 14:30,1,0,7479,0,0,0,0,0,1,7481,0,7400,81,0,0,0,0,7481,7479,0,43364,1,1,0,0,0,14951,10,7443,0,0,28.8,0,0,1,1,0,2,0,0,0,0,0,1,0,34,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,37,0
23/11/2016 14:30,1,0,7479,0,0,0,0,0,1,7481,0,7400,81,0,0,0,0,7481,7479,0,43364,1,1,0,0,0,14961,10,7443,0,0,30.4,0,0,1,1,0,2,0,0,0,0,0,1,0,34,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,37,0
23/11/2016 14:30,1,0,7479,0,0,0,0,0,1,7491,0,7400,91,10,0,0,0,7491,7479,0,43364,1,1,0,0,0,14971,10,7443,0,70.3,31.1,0,0,1,1,0,2,0,0,0,0,0,1,0,34,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,47,0
23/11/2016 14:31,1,0,7479,0,0,0,0,0,1,7501,0,7500,1,10,0,0,0,7501,7479,0,43364,1,1,0,0,0,14981,10,7443,0,66.8,29.9,0,0,1,1,0,2,0,0,0,0,0,1,0,34,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,57,0
23/11/2016 14:31,1,0,7479,0,0,0,0,0,1,7511,0,7500,11,10,0,0,0,7511,7479,0,43364,1,1,0,0,0,14991,10,7443,0,67.8,31.1,0,0,1,1,0,2,0,0,0,0,0,1,0,34,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,67,0
23/11/2016 14:31,1,0,7479,0,0,0,0,0,1,7521,0,7500,21,10,0,0,0,7521,7479,0,43364,1,1,0,0,0,15001,10,7443,0,66.7,30.8,0,0,1,1,0,2,0,0,0,0,0,1,0,34,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,77,0
23/11/2016 14:31,1,0,7479,0,0,0,0,0,1,7521,0,7500,21,0,0,0,0,7521,7479,0,43364,1,1,0,0,0,15011,10,7443,0,0,28.3,0,0,1,1,0,2,0,0,0,0,0,1,0,34,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,77,0
23/11/2016 14:31,1,0,7479,0,0,0,0,0,1,7521,0,7500,21,0,0,0,0,7521,7479,0,43364,1,1,0,0,0,15021,10,7443,0,0,28.7,0,0,1,1,0,2,0,0,0,0,0,1,0,34,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,77,0
